1448486015,48.849289,2.358079,28.871391F, 152
1448486016,48.849264,2.358121,28.871391F, 152
1448486017,48.849241,2.358164,28.215223F, 151
1448486018,48.849226,2.358211,28.871391F, 151
1448486019,48.849216,2.358266,30.183727F, 152
1448486020,48.849199,2.358317,30.839895F, 152
1448486021,48.849182,2.358370,31.496063F, 151
1448486022,48.849174,2.358426,33.464567F, 152
1448486023,48.849162,2.358480,34.776903F, 153
1448486024,48.849143,2.358527,35.433071F, 153
1448486025,48.849127,2.358580,36.089239F, 153
1448486026,48.849113,2.358630,38.057743F, 151
1448486027,48.849099,2.358679,39.370079F, 151
1448486028,48.849082,2.358724,40.682415F, 151
1448486029,48.849061,2.358769,40.682415F, 152
1448486030,48.849039,2.358809,41.338583F, 153
1448486031,48.849015,2.358847,41.994751F, 154
1448486032,48.848987,2.358884,41.994751F, 154
1448486033,48.848960,2.358921,42.650919F, 153
1448486034,48.848936,2.358958,43.307087F, 152
1448486035,48.848910,2.358991,43.963255F, 152
1448486036,48.848889,2.359028,45.275591F, 152
1448486037,48.848865,2.359065,45.931759F, 152
1448486038,48.848839,2.359102,45.931759F, 151
1448486039,48.848813,2.359141,45.931759F, 153
1448486040,48.848786,2.359180,46.587927F, 153
1448486041,48.848762,2.359216,47.900263F, 152
1448486042,48.848738,2.359253,49.212598F, 153
1448486043,48.848719,2.359291,51.837270F, 154
1448486044,48.848697,2.359329,53.805774F, 154
1448486045,48.848675,2.359364,55.774278F, 155
1448486046,48.848653,2.359403,58.398950F, 155
1448486047,48.848628,2.359441,59.711286F, 156
1448486048,48.848603,2.359479,61.023622F, 156
1448486049,48.848579,2.359515,62.992126F, 154
1448486050,48.848555,2.359553,64.960630F, 154
1448486051,48.848531,2.359590,66.272966F, 154
1448486052,48.848505,2.359629,66.929134F, 154
1448486053,48.848479,2.359668,68.241470F, 154
1448486054,48.848423,2.359749,69.553806F, 156
1448486055,48.848423,2.359749,69.553806F, 156
1448486056,48.848371,2.359831,70.866142F, 156
1448486057,48.848371,2.359831,70.866142F, 156
1448486058,48.848345,2.359869,70.866142F, 157
1448486059,48.848318,2.359908,70.866142F, 156
1448486060,48.848294,2.359948,70.866142F, 155
1448486061,48.848272,2.359988,70.866142F, 154
1448486062,48.848247,2.360023,71.522310F, 155
1448486063,48.848219,2.360052,72.178478F, 156
1448486064,48.848187,2.360078,72.834646F, 156
1448486065,48.848157,2.360101,72.834646F, 157
1448486066,48.848129,2.360123,74.146982F, 157
1448486067,48.848102,2.360150,75.459318F, 156
1448486068,48.848075,2.360179,76.771654F, 156
1448486069,48.848048,2.360216,77.427822F, 153
1448486070,48.848023,2.360254,78.740158F, 152
1448486071,48.848002,2.360292,79.396326F, 152
1448486072,48.847980,2.360329,79.396326F, 153
