1448485898,48.850375,2.353733,114.173229F, 71
1448485899,48.850380,2.353725,114.173229F, 70
1448485900,48.850380,2.353715,113.517061F, 72
1448485901,48.850380,2.353703,113.517061F, 72
1448485902,48.850388,2.353684,113.517061F, 73
1448485903,48.850394,2.353664,112.860893F, 75
1448485904,48.850403,2.353639,112.860893F, 78
1448485905,48.850417,2.353599,112.860893F, 79
1448485906,48.850430,2.353558,112.204725F, 81
1448485907,48.850444,2.353511,112.204725F, 81
1448485908,48.850465,2.353457,111.548557F, 83
1448485909,48.850482,2.353407,110.892389F, 89
1448485910,48.850499,2.353354,110.892389F, 93
1448485911,48.850512,2.353304,110.236221F, 97
1448485912,48.850520,2.353265,109.580053F, 99
1448485913,48.850522,2.353237,108.923885F, 99
1448485914,48.850531,2.353217,108.267717F, 99
1448485915,48.850539,2.353208,108.267717F, 100
1448485916,48.850532,2.353226,106.955381F, 100
1448485917,48.850494,2.353285,106.955381F, 102
1448485918,48.850478,2.353327,105.643045F, 103
1448485919,48.850464,2.353371,104.986877F, 107
1448485920,48.850457,2.353417,104.986877F, 110
1448485921,48.850454,2.353462,104.330709F, 113
1448485922,48.850449,2.353505,103.674541F, 117
1448485923,48.850439,2.353552,102.362205F, 121
1448485924,48.850432,2.353599,101.706037F, 122
1448485925,48.850426,2.353648,101.049869F, 122
1448485926,48.850416,2.353706,100.393701F, 121
1448485927,48.850403,2.353764,98.425197F, 122
1448485928,48.850396,2.353824,97.112861F, 121
1448485929,48.850399,2.353879,96.456693F, 122
1448485930,48.850409,2.353933,95.800525F, 123
1448485931,48.850427,2.353989,95.144357F, 124
1448485932,48.850439,2.354047,94.488189F, 124
1448485933,48.850449,2.354108,93.832021F, 125
1448485934,48.850444,2.354166,93.175853F, 127
1448485935,48.850435,2.354225,93.175853F, 128
1448485936,48.850422,2.354279,93.175853F, 129
1448485937,48.850411,2.354332,92.519685F, 130
1448485938,48.850398,2.354386,91.863517F, 132
1448485939,48.850386,2.354437,91.863517F, 132
1448485940,48.850369,2.354493,91.207349F, 133
1448485941,48.850355,2.354544,90.551181F, 133
1448485942,48.850340,2.354598,89.895013F, 134
1448485943,48.850328,2.354652,89.238845F, 134
1448485944,48.850314,2.354709,89.238845F, 135
1448485945,48.850302,2.354754,88.582677F, 135
1448485946,48.850288,2.354803,89.238845F, 135
1448485947,48.850268,2.354853,88.582677F, 135
1448485948,48.850249,2.354901,88.582677F, 134
1448485949,48.850230,2.354950,87.926509F, 136
1448485950,48.850210,2.354999,87.926509F, 136
1448485951,48.850191,2.355045,87.270341F, 136
1448485952,48.850179,2.355089,87.270341F, 136
1448485953,48.850174,2.355127,87.270341F, 137
1448485954,48.850157,2.355171,87.270341F, 141
1448485955,48.850174,2.355226,87.270341F, 141
1448485956,48.850174,2.355275,86.614173F, 142
1448485957,48.850188,2.355319,86.614173F, 143
1448485958,48.850192,2.355378,87.270341F, 144
1448485959,48.850186,2.355440,87.270341F, 144
1448485960,48.850171,2.355493,87.270341F, 145
1448485961,48.850156,2.355542,87.270341F, 145
1448485962,48.850142,2.355585,87.270341F, 145
1448485963,48.850128,2.355623,86.614173F, 145
1448485964,48.850106,2.355670,86.614173F, 145
1448485965,48.850087,2.355716,86.614173F, 146
1448485966,48.850068,2.355759,85.958005F, 146
1448485967,48.850051,2.355801,86.614173F, 146
1448485968,48.850036,2.355848,85.958005F, 147
1448485969,48.850024,2.355893,85.958005F, 149
1448485970,48.850009,2.355939,85.958005F, 149
1448485971,48.849995,2.355985,85.958005F, 149
1448485972,48.849983,2.356031,85.301837F, 150
1448485973,48.849971,2.356078,85.301837F, 150
1448485974,48.849955,2.356123,85.958005F, 150
1448485975,48.849942,2.356164,84.645669F, 150
1448485976,48.849927,2.356210,83.333333F, 150
1448485977,48.849913,2.356257,83.333333F, 149
1448485978,48.849896,2.356305,80.708662F, 150
1448485979,48.849877,2.356355,77.427822F, 150
1448485980,48.849860,2.356398,74.803150F, 151
1448485981,48.849843,2.356447,71.522310F, 150
1448485982,48.849825,2.356496,69.553806F, 151
1448485983,48.849806,2.356545,66.929134F, 151
1448485984,48.849789,2.356597,65.616798F, 151
1448485985,48.849774,2.356648,63.648294F, 150
1448485986,48.849758,2.356699,62.335958F, 151
1448485987,48.849741,2.356755,61.023622F, 151
1448485988,48.849726,2.356809,59.711286F, 151
1448485989,48.849708,2.356861,59.055118F, 151
1448485990,48.849691,2.356910,58.398950F, 151
1448485991,48.849676,2.356960,58.398950F, 152
1448485992,48.849661,2.357008,58.398950F, 152
1448485993,48.849646,2.357055,58.398950F, 152
1448485994,48.849636,2.357100,57.742782F, 151
1448485995,48.849622,2.357147,57.086614F, 152
1448485996,48.849606,2.357194,56.430446F, 151
1448485997,48.849585,2.357242,55.774278F, 152
1448485998,48.849555,2.357286,55.774278F, 151
1448485999,48.849529,2.357335,55.774278F, 151
1448486000,48.849507,2.357379,56.430446F, 152
1448486001,48.849490,2.357431,56.430446F, 151
1448486002,48.849477,2.357475,56.430446F, 151
1448486003,48.849462,2.357530,56.430446F, 151
1448486004,48.849450,2.357575,56.430446F, 152
1448486005,48.849435,2.357629,56.430446F, 151
1448486006,48.849422,2.357681,57.086614F, 152
1448486007,48.849411,2.357739,57.742782F, 151
1448486008,48.849398,2.357792,58.398950F, 152
1448486009,48.849383,2.357846,58.398950F, 152
1448486010,48.849368,2.357897,58.398950F, 153
1448486011,48.849353,2.357947,58.398950F, 152
1448486012,48.849340,2.357995,58.398950F, 152
1448486013,48.849325,2.358046,58.398950F, 152
